Country;Year;pop;ISO3166_alpha3;Region;SubRegion;OPEC;EU;OECD;co2_mtco2;coalprod_mtoe;elect_twh;gasprod_mtoe;oilprod_mt
Algeria;1965;12.626952;DZA;Africa;Northern Africa;1;0;0;5.568752776;;;;26.13931234
Algeria;1966;12.980267;DZA;Africa;Northern Africa;1;0;0;6.867505979;;;;33.64247607
Algeria;1967;13.354197;DZA;Africa;Northern Africa;1;0;0;6.369306902;;;;38.64524181
Algeria;1968;13.744387;DZA;Africa;Northern Africa;1;0;0;6.77113723;;;;42.42374811
Algeria;1969;14.144438;DZA;Africa;Northern Africa;1;0;0;7.592118351;;;;44.43579345
Algeria;1970;14.550034;DZA;Africa;Northern Africa;1;0;0;8.264424633;;;2.096313414;48.3134937
Algeria;1971;14.960109;DZA;Africa;Northern Africa;1;0;0;8.930844168;;;2.209694755;36.79765995
Algeria;1972;15.377093;DZA;Africa;Northern Africa;1;0;0;9.986480526;;;2.799774291;49.72648111
Algeria;1973;15.804428;DZA;Africa;Northern Africa;1;0;0;11.61221403;;;3.715928633;51.69863224
Algeria;1974;16.247113;DZA;Africa;Northern Africa;1;0;0;12.97369526;;;4.296076956;47.83411335
Algeria;1975;16.709099;DZA;Africa;Northern Africa;1;0;0;15.47522945;;;5.290025795;46.80389924
Algeria;1976;17.190239;DZA;Africa;Northern Africa;1;0;0;17.88375812;;;6.663015907;52.22913753
Algeria;1977;17.690184;DZA;Africa;Northern Africa;1;0;0;19.34421075;;;6.377079751;55.75623426
Algeria;1978;18.212326;DZA;Africa;Northern Africa;1;0;0;24.53464182;;;9.88983233;56.9353539
Algeria;1979;18.760761;DZA;Africa;Northern Africa;1;0;0;32.11140668;;;16.21104901;58.0864301
Algeria;1980;19.337715;DZA;Africa;Northern Africa;1;0;0;38.51578477;;;13.25;51.54245542
Algeria;1981;19.943664;DZA;Africa;Northern Africa;1;0;0;46.31018066;;;15.361;45.92668514
Algeria;1982;20.575701;DZA;Africa;Northern Africa;1;0;0;54.25844173;;;20.043;45.69070529
Algeria;1983;21.228289;DZA;Africa;Northern Africa;1;0;0;59.03239057;;;28.701;44.95342317
Algeria;1984;21.893853;DZA;Africa;Northern Africa;1;0;0;56.95771914;;;29.214;48.78596222
Algeria;1985;22.565905;DZA;Africa;Northern Africa;1;0;0;57.61245138;;12.274;32.105;47.06101826
Algeria;1986;23.241272;DZA;Africa;Northern Africa;1;0;0;60.98556138;;12.981;32.837;48.47924874
Algeria;1987;23.917897;DZA;Africa;Northern Africa;1;0;0;62.67455687;;12.722;37.06;50.1977563
Algeria;1988;24.591492;DZA;Africa;Northern Africa;1;0;0;66.88505873;;13.966;38.743;52.57526952
Algeria;1989;25.257672;DZA;Africa;Northern Africa;1;0;0;65.1347226;;15.324;41.774;54.48481612
Algeria;1990;25.912367;DZA;Africa;Northern Africa;1;0;0;66.10931915;;16.104;44.417;58.35548992
Algeria;1991;26.554329;DZA;Africa;Northern Africa;1;0;0;65.7926721;;17.345;47.896;58.69372796
Algeria;1992;27.181094;DZA;Africa;Northern Africa;1;0;0;67.0192155;;18.286;49.872;56.50141058
Algeria;1993;27.786259;DZA;Africa;Northern Africa;1;0;0;62.52537382;;19.414;50.513;56.32321159
Algeria;1994;28.362253;DZA;Africa;Northern Africa;1;0;0;63.46065029;;19.883;46.441;56.07125441
Algeria;1995;28.904298;DZA;Africa;Northern Africa;1;0;0;65.8112943;;19.715;52.873;55.81125441
Algeria;1996;29.411415;DZA;Africa;Northern Africa;1;0;0;64.89478554;;20.654;56.106;59.0123199
Algeria;1997;29.886839;DZA;Africa;Northern Africa;1;0;0;62.4271122;;21.497;64.367;61.56702519
Algeria;1998;30.335732;DZA;Africa;Northern Africa;1;0;0;64.69332304;;23.262;68.927;61.38579345
